Strain,Biorep,Drug,12.5,6.25,3.125,1.5625,0.78125,0.390625,0,Background
A02,a,BA,0.2022,0.2045,0.1979,0.2534,0.2619,0.4463,0.2738,0.0743
A03,a,BA,0.2066,0.2418,0.2616,0.3280,0.3296,0.3350,0.3246,0.0757
A04,a,BA,0.4895,0.4533,0.6052,0.6627,0.7009,0.7190,0.6407,0.0763
A08,a,BA,0.2141,0.2046,0.2057,0.4028,0.4920,0.4725,0.4156,0.0746
A10,a,BA,0.0994,0.1037,0.1046,0.1085,0.1126,0.1345,0.1706,0.0746
A12,a,BA,0.1208,0.1381,0.1486,0.2036,0.3324,0.3204,0.2511,0.0748
A17,a,BA,0.7486,0.6219,0.6959,0.6833,0.8350,1.1370,1.0912,0.0746
A18,a,BA,0.3797,0.2557,0.3271,0.6469,0.7487,0.8255,0.6350,0.0744
A02,b,BA,0.5009,0.3802,0.3706,0.0743,0.4867,0.5389,0.6800,0.0740
A03,b,BA,0.2400,0.2698,0.2657,0.5125,0.3974,0.3702,0.4063,0.0765
A04,b,BA,0.4420,0.4117,0.4302,0.6489,0.6807,0.6954,0.7296,0.0775
A08,b,BA,0.1795,0.1690,0.1946,0.4543,0.5051,0.3538,0.4124,0.0740
A10,b,BA,0.0823,0.0815,0.0819,0.0831,0.0833,0.0806,0.0822,0.0755
A12,b,BA,0.1119,0.1356,0.1357,0.2565,0.3728,0.3103,0.2661,0.0776
A17,b,BA,0.6799,0.6384,0.5650,0.7480,0.7591,0.9373,0.9673,0.0743
A18,b,BA,0.2887,0.2659,0.2390,0.4841,0.6314,0.6156,0.6164,0.0745