name,line,type,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
Blank_BA,Blank,BA,1,1,1,NA,NA,NA,1
Blank_FLC,Blank,FLC,1,1,1,NA,NA,NA,0.6
HSC084_BA_a,HSC084,BA,11,12,14,0.09,0.12,0.19,64.2
HSC001_BA_a,HSC001,BA,13,14,15,0.12,0.11,0.14,196
HSC001_BA_b,HSC001,BA,13,14,15,0.15,0.1,0.12,207.5
HSC001_FLC_a,HSC001,FLC,22,24,26,0.12,0.09,0.1,52.6
HSC001_FLC_b,HSC001,FLC,21,23,25,0.09,0.1,0.11,95.2
HSC002_BA_a,HSC002,BA,9,11,13,0.07,0.17,0.21,144.7
HSC002_BA_b,HSC002,BA,11,12,14,0.19,0.16,0.21,146.6
HSC002_FLC_a,HSC002,FLC,1,19,23,NA,0.6,0.46,34
HSC002_FLC_b,HSC002,FLC,2,19,22,0.68,0.58,0.45,35.8
HSC003_BA_a,HSC003,BA,1,8,19,NA,0.71,0.69,20.1
HSC003_BA_b,HSC003,BA,2,4,14,0.74,0.5,0.66,17.9
HSC003_FLC_a,HSC003,FLC,9,13,14,0.25,0.23,0.21,47
HSC003_FLC_b,HSC003,FLC,10,13,15,0.26,0.23,0.22,47
HSC005_BA_a,HSC005,BA,4,7,14,0.4,0.38,0.54,44
HSC005_BA_b,HSC005,BA,2,7,10,0.59,0.53,0.48,48.3
HSC005_FLC_a,HSC005,FLC,7,9,12,0.14,0.21,0.29,29.2
HSC005_FLC_b,HSC005,FLC,6,11,13,0.37,0.44,0.36,30.5
HSC006_BA_a,HSC006,BA,5,8,10,0.44,0.33,0.37,84.4
HSC006_BA_b,HSC006,BA,6,8,11,0.18,0.22,0.32,76.6
HSC006_FLC_a,HSC006,FLC,10,15,18,0.4,0.32,0.31,63.9
HSC006_FLC_b,HSC006,FLC,7,16,20,0.55,0.42,0.4,53.9
HSC007_BA_a,HSC007,BA,11,13,13,0.36,0.18,0.17,212.1
HSC007_BA_b,HSC007,BA,12,13,14,0.15,0.12,0.14,206.2
HSC007_FLC_a,HSC007,FLC,15,18,21,0.44,0.26,0.26,80.9
HSC007_FLC_b,HSC007,FLC,1,16,21,NA,0.56,0.46,47.2
HSC008_BA_a,HSC008,BA,10,12,14,0.11,0.16,0.19,148.5
HSC008_BA_b,HSC008,BA,12,14,16,0.14,0.15,0.2,163.7
HSC008_FLC_a,HSC008,FLC,9,19,24,0.87,0.47,0.41,49.7
HSC008_FLC_b,HSC008,FLC,1,18,23,NA,0.54,0.45,44.9
HSC009_BA_a,HSC009,BA,10,12,15,0.11,0.15,0.23,180.6
HSC009_BA_b,HSC009,BA,10,13,15,0.08,0.18,0.21,189.1
HSC009_FLC_a,HSC009,FLC,2,3,19,0.21,0.28,0.83,11.3
HSC009_FLC_b,HSC009,FLC,3,3,15,0.15,0.12,0.8,15.7
HSC011_BA_a,HSC011,BA,12,14,16,0.18,0.17,0.22,207.5
HSC011_BA_b,HSC011,BA,11,14,16,0.09,0.16,0.2,206.3
HSC011_FLC_a,HSC011,FLC,2,3,5,0.29,0.31,0.47,14.2
HSC011_FLC_b,HSC011,FLC,2,4,21,0.32,0.46,0.77,13.3
HSC012_BA_a,HSC012,BA,13,15,17,0.51,0.28,0.23,106.3
HSC012_BA_b,HSC012,BA,14,16,18,0.59,0.28,0.25,137.2
HSC012_FLC_a,HSC012,FLC,11,20,23,0.51,0.36,0.33,58
HSC012_FLC_b,HSC012,FLC,13,19,23,0.62,0.37,0.36,40.8
HSC013_BA_a,HSC013,BA,4,8,9,0.17,0.34,0.29,79.1
HSC013_BA_b,HSC013,BA,5,8,10,0.25,0.33,0.31,49.8
HSC013_FLC_a,HSC013,FLC,9,18,22,0.73,0.42,0.38,64.6
HSC013_FLC_b,HSC013,FLC,12,20,23,0.78,0.37,0.34,67.8
HSC014_BA_a,HSC014,BA,10,12,13,0.1,0.16,0.16,172.4
HSC014_BA_b,HSC014,BA,12,13,14,0.2,0.14,0.14,167.2
HSC014_FLC_a,HSC014,FLC,6,17,20,0.8,0.49,0.39,55.9
HSC014_FLC_b,HSC014,FLC,4,19,23,0.83,0.49,0.43,41.8
HSC015_BA_a,HSC015,BA,11,12,14,0.07,0.08,0.16,154
HSC015_BA_b,HSC015,BA,11,12,13,0.09,0.1,0.13,167.1
HSC015_FLC_a,HSC015,FLC,15,18,20,0.6,0.28,0.26,79.6
HSC015_FLC_b,HSC015,FLC,14,18,20,0.53,0.27,0.25,79.2
HSC016_BA_a,HSC016,BA,9,10,11,0.09,0.14,0.16,145.1
HSC016_BA_b,HSC016,BA,9,10,11,0.09,0.13,0.16,139.8
HSC016_FLC_a,HSC016,FLC,14,17,16,0.06,0.17,0.13,31.7
HSC016_FLC_b,HSC016,FLC,14,16,16,0.06,0.12,0.13,33.1
HSC017_BA_a,HSC017,BA,7,11,14,0.27,0.29,0.34,59.4
HSC017_BA_b,HSC017,BA,5,8,15,0.49,0.39,0.54,40.4
HSC017_FLC_a,HSC017,FLC,9,13,15,0.2,0.3,0.26,39.8
HSC017_FLC_b,HSC017,FLC,10,13,16,0.13,0.21,0.25,47.5
HSC018_BA_a,HSC018,BA,12,14,16,0.09,0.15,0.19,204.3
HSC018_BA_b,HSC018,BA,11,13,16,0.23,0.17,0.23,203.8
HSC018_FLC_a,HSC018,FLC,2,3,19,0.18,0.22,0.82,13.1
HSC018_FLC_b,HSC018,FLC,2,3,8,0.24,0.3,0.7,15.9
HSC019_BA_a,HSC019,BA,12,14,16,0.12,0.16,0.17,203.4
HSC019_BA_b,HSC019,BA,11,14,16,0.12,0.19,0.21,197.3
HSC019_FLC_a,HSC019,FLC,5,13,21,0.14,0.55,0.52,18.8
HSC019_FLC_b,HSC019,FLC,5,14,23,0.15,0.6,0.53,18.5
HSC020_BA_a,HSC020,BA,13,14,15,0.35,0.21,0.17,116.9
HSC020_BA_b,HSC020,BA,10,14,17,0.56,0.33,0.32,64.5
HSC020_FLC_a,HSC020,FLC,0,18,21,NA,0.61,0.52,29.5
HSC020_FLC_b,HSC020,FLC,1,18,22,NA,0.68,0.49,26.2
HSC021_BA_a,HSC021,BA,10,17,19,0.52,0.39,0.39,46.9
HSC021_BA_b,HSC021,BA,9,13,20,0.51,0.36,0.42,35.8
HSC021_FLC_a,HSC021,FLC,16,16,17,0.08,0.07,0.09,50.4
HSC021_FLC_b,HSC021,FLC,17,18,20,0.06,0.08,0.13,55.8
HSC022_BA_a,HSC022,BA,8,16,23,0.28,0.44,0.46,39.6
HSC022_BA_b,HSC022,BA,5,11,17,0.35,0.45,0.47,29
HSC022_FLC_a,HSC022,FLC,10,10,12,0.07,0.07,0.16,62.4
HSC022_FLC_b,HSC022,FLC,11,12,13,0.08,0.08,0.11,57.5
HSC024_BA_a,HSC024,BA,6,9,14,0.24,0.33,0.42,54.2
HSC024_BA_b,HSC024,BA,6,9,18,0.25,0.29,0.52,45.1
HSC024_FLC_a,HSC024,FLC,17,19,22,0.07,0.08,0.18,84.5
HSC024_FLC_b,HSC024,FLC,17,18,20,0.07,0.07,0.11,88.2
HSC026_BA_a,HSC026,BA,6,9,16,0.2,0.28,0.5,42.3
HSC026_BA_b,HSC026,BA,7,11,14,0.12,0.29,0.32,23.5
HSC026_FLC_a,HSC026,FLC,6,21,24,0.62,0.48,0.38,17.4
HSC026_FLC_b,HSC026,FLC,0,21,23,NA,0.59,0.46,5.7
HSC027_BA_a,HSC027,BA,7,10,13,0.17,0.27,0.32,29.5
HSC027_BA_b,HSC027,BA,7,11,14,0.27,0.29,0.35,32.9
HSC027_FLC_a,HSC027,FLC,10,13,19,0.17,0.23,0.37,41.7
HSC027_FLC_b,HSC027,FLC,10,14,17,0.16,0.28,0.29,42.3
HSC028_BA_a,HSC028,BA,11,14,15,0.11,0.15,0.16,75.6
HSC028_BA_b,HSC028,BA,11,14,15,0.1,0.16,0.16,80
HSC028_FLC_a,HSC028,FLC,8,20,24,0.71,0.47,0.37,45.2
HSC028_FLC_b,HSC028,FLC,8,17,21,0.88,0.45,0.39,57.4
HSC029_BA_a,HSC029,BA,12,14,15,0.08,0.13,0.15,82.7
HSC029_BA_b,HSC029,BA,13,15,16,0.12,0.13,0.13,93.6
HSC029_FLC_a,HSC029,FLC,0,17,20,NA,0.58,0.45,40.3
HSC029_FLC_b,HSC029,FLC,0,18,21,NA,0.66,0.49,42.8
HSC030_BA_a,HSC030,BA,11,13,14,0.08,0.12,0.13,97.7
HSC030_BA_b,HSC030,BA,13,14,16,0.1,0.11,0.16,93
HSC030_FLC_a,HSC030,FLC,4,18,22,0.9,0.51,0.4,53.4
HSC030_FLC_b,HSC030,FLC,4,18,22,0.74,0.54,0.41,48.3
HSC031_BA_a,HSC031,BA,10,13,16,0.21,0.23,0.28,34.4
HSC031_BA_b,HSC031,BA,10,13,18,0.18,0.21,0.33,34.6
HSC031_FLC_a,HSC031,FLC,8,13,14,0.38,0.27,0.24,57.5
HSC031_FLC_b,HSC031,FLC,9,14,15,0.39,0.28,0.25,42
HSC032_BA_a,HSC032,BA,11,12,15,0.07,0.08,0.2,81.3
HSC032_BA_b,HSC032,BA,12,14,17,0.1,0.12,0.2,69.4
HSC032_FLC_a,HSC032,FLC,19,20,21,0.06,0.07,0.09,144.4
HSC032_FLC_b,HSC032,FLC,19,21,23,0.07,0.09,0.12,141.7
HSC033_BA_a,HSC033,BA,14,15,17,0.08,0.09,0.15,48.9
HSC033_BA_b,HSC033,BA,14,16,21,0.09,0.11,0.27,45.3
HSC033_FLC_a,HSC033,FLC,19,21,23,0.09,0.1,0.13,55.3
HSC033_FLC_b,HSC033,FLC,20,21,25,0.07,0.09,0.16,60.1
HSC034_BA_a,HSC034,BA,11,13,14,0.07,0.11,0.13,94.3
HSC034_BA_b,HSC034,BA,12,13,15,0.08,0.1,0.16,85.6
HSC034_FLC_a,HSC034,FLC,5,18,22,0.65,0.57,0.43,34.5
HSC034_FLC_b,HSC034,FLC,8,20,23,0.6,0.47,0.37,48.9
HSC036_BA_a,HSC036,BA,7,9,11,0.15,0.2,0.27,47.7
HSC036_BA_b,HSC036,BA,7,8,10,0.16,0.17,0.25,45.7
HSC036_FLC_a,HSC036,FLC,0,16,20,NA,0.73,0.53,40.6
HSC036_FLC_b,HSC036,FLC,1,18,20,NA,0.52,0.41,63.4
HSC037_BA_a,HSC037,BA,6,7,9,0.1,0.12,0.23,40.5
HSC037_BA_b,HSC037,BA,6,7,9,0.11,0.14,0.24,46.3
HSC037_FLC_a,HSC037,FLC,18,19,21,0.06,0.07,0.11,139.7
HSC037_FLC_b,HSC037,FLC,18,20,22,0.07,0.08,0.13,156.3
HSC038_BA_a,HSC038,BA,12,13,13,0.08,0.09,0.09,63.3
HSC038_BA_b,HSC038,BA,12,13,14,0.06,0.07,0.1,59.6
HSC038_FLC_a,HSC038,FLC,8,16,18,0.68,0.42,0.3,65.6
HSC038_FLC_b,HSC038,FLC,13,17,19,0.66,0.33,0.28,63.8
HSC039_BA_a,HSC039,BA,12,13,15,0.07,0.08,0.16,97.6
HSC039_BA_b,HSC039,BA,11,12,13,0.08,0.1,0.14,94.7
HSC039_FLC_a,HSC039,FLC,17,20,22,0.06,0.11,0.15,138.7
HSC039_FLC_b,HSC039,FLC,18,19,22,0.08,0.09,0.15,138
HSC040_BA_a,HSC040,BA,12,13,14,0.08,0.1,0.14,113.2
HSC040_BA_b,HSC040,BA,12,13,14,0.06,0.08,0.12,112
HSC040_FLC_a,HSC040,FLC,19,21,24,0.08,0.11,0.17,65
HSC040_FLC_b,HSC040,FLC,17,20,21,0.06,0.11,0.13,118.9
HSC041_BA_a,HSC041,BA,11,13,14,0.06,0.11,0.14,75.8
HSC041_BA_b,HSC041,BA,11,12,13,0.1,0.11,0.14,57.8
HSC041_FLC_a,HSC041,FLC,9,20,22,0.55,0.37,0.32,39.2
HSC041_FLC_b,HSC041,FLC,14,17,20,0.54,0.31,0.27,74.2
HSC042_BA_a,HSC042,BA,11,13,14,0.1,0.13,0.16,85.4
HSC042_BA_b,HSC042,BA,11,13,14,0.05,0.11,0.14,72.2
HSC042_FLC_a,HSC042,FLC,11,18,20,0.74,0.36,0.31,72.2
HSC043_BA_a,HSC043,BA,11,11,12,0.07,0.06,0.09,67.4
HSC043_BA_b,HSC043,BA,11,12,13,0.13,0.12,0.14,51.3
HSC043_FLC_a,HSC043,FLC,1,20,22,NA,0.57,0.44,38
HSC043_FLC_b,HSC043,FLC,0,19,21,NA,0.63,0.44,62.7
HSC044_BA_a,HSC044,BA,10,11,12,0.1,0.09,0.13,73
HSC044_BA_b,HSC044,BA,11,13,14,0.07,0.13,0.15,88.5
HSC044_FLC_b,HSC044,FLC,11,18,19,0.79,0.35,0.3,77.5
HSC045_BA_a,HSC045,BA,10,12,17,0.16,0.18,0.33,21
HSC045_BA_b,HSC045,BA,11,13,22,0.2,0.2,0.42,17
HSC045_FLC_a,HSC045,FLC,13,14,15,0.06,0.08,0.11,43.9
HSC045_FLC_b,HSC045,FLC,13,14,15,0.07,0.09,0.13,53.3
HSC046_BA_a,HSC046,BA,10,11,13,0.1,0.11,0.19,61.7
HSC046_BA_b,HSC046,BA,9,10,12,0.1,0.12,0.2,42.7
HSC046_FLC_a,HSC046,FLC,16,17,19,0.52,0.34,0.24,80.4
HSC046_FLC_b,HSC046,FLC,3,17,19,0.86,0.39,0.33,57.9
HSC047_BA_a,HSC047,BA,13,14,16,0.08,0.09,0.17,99.3
HSC047_BA_b,HSC047,BA,11,13,14,0.07,0.13,0.16,94.5
HSC047_FLC_a,HSC047,FLC,2,18,21,1,0.51,0.41,57.1
HSC047_FLC_b,HSC047,FLC,0,17,21,NA,0.72,0.54,28
HSC048_BA_a,HSC048,BA,9,12,13,0.12,0.17,0.19,68.4
HSC048_BA_b,HSC048,BA,9,12,13,0.11,0.16,0.18,86.5
HSC048_FLC_a,HSC048,FLC,7,17,20,0.71,0.44,0.36,65
HSC048_FLC_b,HSC048,FLC,1,17,20,NA,0.57,0.45,50.8
HSC049_BA_a,HSC049,BA,8,12,17,0.27,0.29,0.4,47.2
HSC049_BA_b,HSC049,BA,7,10,14,0.29,0.3,0.37,41.2
HSC049_FLC_a,HSC049,FLC,0,16,17,NA,0.55,0.46,55.2
HSC049_FLC_b,HSC049,FLC,0,16,18,NA,0.67,0.53,42.3
HSC050_BA_a,HSC050,BA,11,13,14,0.1,0.15,0.16,67.8
