Strain,Enviro,MIC50,OD,Activity_norm
A01,0.5,2,1.6986931233953222,1
A01,1,2,1.8821205123663471,1.0514432672704874
A01,16,2,1.648316150502603,1.0243300340543253
A01,2,2,1.7493461344956729,1.0305305236835027
A01,32,2,1.57765036934898,1.0079468203410618
A01,4,2,1.8514802713192684,1.0526854706089779
A01,8,2,1.7003493526411104,0.9887280826839993
A06,0.5,1,1.3549868108379564,1
A06,1,1,1.6002606835859206,1.031051907319364
A06,16,1,1.6855923609915455,1.0505332633830855
A06,2,1,1.8878721962774447,1.1169959254989832
A06,32,1,1.409030206528186,1.0137255816676698
A06,4,1,1.679137785392915,1.0697606741678198
A06,8,1,1.7743154255761124,1.0853492487681544
A07,0.5,1,1.4293880159252959,1
A07,1,1,1.6688514752750803,1.038462265986287
A07,16,1,1.605178519587963,1.0108734765773475
A07,2,1,1.8052935231760459,1.0619990071726313
A07,32,1,1.3868712429464183,0.9788387640031111
A07,4,1,1.7955841639621195,1.063885437879616
A07,8,1,1.7834219139994116,1.0315634247773804
A09,0.5,1,1.2454017556304764,1
A09,1,1,1.4666498979457234,0.9576482260077447
A09,16,1,1.4291660047060493,0.9272656386115874
A09,2,1,1.4944582164485793,0.9323829407286973
A09,32,1,1.3617953361682027,0.8938717379567896
A09,4,1,1.5520099684016548,0.9375208189505606
A09,8,1,1.5008369286824819,0.9304041691308005
A11,0.5,1,1.3019856375243584,1
A11,1,1,1.5989661812861005,1.0318576330592013
A11,16,1,1.6140361291762422,0.9592894706018144
A11,2,1,1.602516692569118,1.0666224266400637
A11,32,1,1.453395218682377,0.9368536528520235
A11,4,1,1.5592004549163028,1.0827217957988275
A11,8,1,1.6224784560047507,1.06888326538758
A13,0.5,1,1.5604844714103987,1
A13,1,1,1.6829387941673546,0.963462568853155
A13,16,1,1.6242593401750953,0.9219460545759145
A13,2,1,1.5903173030619255,0.9279428389120484
A13,32,1,1.4520836313322611,0.8679101937920887
A13,4,1,1.6747203832440691,0.9448597358082436
A13,8,1,1.6546674605912521,0.9656895518229428
A14,0.5,1,1.4433189268642435,1
A14,1,1,1.548724665277135,1.0787844019841548
A14,16,1,1.638700945271034,1.0670160963548354
A14,2,1,1.6442486157138179,1.1161862725037373
A14,32,1,1.5319082892474465,1.0576284235353106
A14,4,1,1.571608805853618,1.164394596957712
A14,8,1,1.604288052055641,1.0759128899151995
A15,0.5,1,1.4459357507934694,1
A15,1,1,1.6186922312865286,1.0208551637896985
A15,16,1,1.6477752274985658,1.0181009921845752
A15,2,1,1.6596174055968802,1.0705742111609255
A15,32,1,1.4130214616672718,0.9349067051378581
A15,4,1,1.6314051577744249,1.108788561369873
A15,8,1,1.5909153576588644,1.0409183440317746
A16,0.5,1,1.4513444918540375,1
A16,1,1,1.5323604937500397,1.0018925007425192
A16,16,1,1.5037454112298325,0.9895032276613763
A16,2,1,1.4819777665922944,0.9964962578365282
A16,32,1,1.4837797239298391,0.9942486445737351
A16,4,1,1.4558133460511478,0.960763013486886
A16,8,1,1.5181610699301886,0.9959655825610834
A19,0.5,1,1.4084687203797532,1
A19,1,1,1.601645494652526,1.0211218495097236
A19,16,1,1.5938938640599358,0.9957519800158549
A19,2,1,1.5413976727200165,1.0026305111504599
A19,32,1,1.5757811430713087,0.9965499092010152
A19,4,1,1.6072481583481608,0.9977305980521013
A19,8,1,1.6707961794438526,1.0066812769343412
A20,0.5,1,1.506351005715896,1
A20,1,1,1.4414868271552665,0.9127069178908064
A20,16,1,1.636625095108698,0.9676045414613826
A20,2,1,1.5935122456567414,0.9764710515889842
A20,32,1,1.5631071619564465,0.9211712082396324
A20,4,1,1.5370679364285016,0.9390431066122855
A20,8,1,1.6363132480963873,0.9555404137070747
A21,0.5,1,1.457994147700902,1
A21,1,1,1.6729546364572039,1.1024360372428776
A21,16,1,1.6161973715252105,1.067176259341203
A21,2,1,1.5126525307247787,1.0211328439242342
A21,32,1,1.81961400978687,1.1073054305522743
A21,4,1,1.4997968790375629,1.0321730993046523
A21,8,1,1.4914888048179336,1.053731791991066
A22,0.5,1,1.442226224817522,1
A22,1,1,1.7300799505658941,1.087666545614988
A22,16,1,1.5800957034213658,0.9045089607567945
A22,2,1,1.6975748321574384,1.0053510626767446
A22,32,1,1.5472493239272571,0.8916299018575821
A22,4,1,1.6454472013239303,0.9730915658921695
A22,8,1,1.6927971769582952,0.9602534003177601
A23,0.5,>32,1.4061637863093013,1
A23,1,>32,1.618832165350618,1.1372850935396486
A23,16,>32,1.5679449034588986,1.0209397865279253
A23,2,>32,1.7601469965957481,1.124357120586181
A23,32,>32,1.4830863914944585,1.0274314498630075
A23,4,>32,1.7368265687794335,1.0715876706302132
A23,8,>32,1.6950586383621535,1.1101766190289106
A24,0.5,1,1.3603388801077296,1
A24,1,1,1.6221987377986171,1.0552076529938863
A24,16,1,1.4910327573987645,0.9358004352885783
A24,2,1,1.5343088757070542,0.9483533953873207
A24,32,1,1.2669411484132933,0.8678456514399364
A24,4,1,1.6969483966947538,0.9751521601212142
A24,8,1,1.5581500827023482,0.9093366468262083
A25,0.5,>32,1.4265176726566036,1
A25,1,>32,1.5567343352099614,1.0800467080042826
A25,16,>32,1.4843548542394567,1.0013332557224444
A25,2,>32,1.6500972253425576,1.1050168678315915
A25,32,>32,1.3894646906551893,0.9481856093737944
A25,4,>32,1.6787834049565558,1.1022584145373764
A25,8,>32,1.5662963950812943,1.0610053900440883
A26,0.5,1,1.033068672902378,1
A26,1,1,1.0701954991390292,1.083473337140508
A26,16,1,1.201275926464349,1.0382853879948557
A26,2,1,1.1382613472395569,1.1726422412854358
A26,32,1,1.3569812895588769,1.1286454412441518
A26,4,1,1.1578350141330294,1.1437286339590758
A26,8,1,1.184227894008744,1.1536952664034954
A27,0.5,1,1.7714001028175024,1
A27,1,1,1.9050578913177791,1.0728416435608064
A27,16,1,1.5988543618128548,0.8747570695882799
A27,2,1,1.7440847045436547,0.986736634906235
A27,32,1,1.447889870589453,0.8368540527828582
A27,4,1,1.4525814466288542,0.8823567393884022
A27,8,1,1.777238508555424,0.9755234043082374
A28,0.5,1,1.361640341506375,1
A28,1,1,1.5018923175682835,0.9674457840596601
A28,16,1,1.4511706545214025,0.8915565074218802
A28,2,1,1.6265769820610487,0.9656942903316825
A28,32,1,1.348704124850326,0.8473207246671306
A28,4,1,1.6507684380675582,0.9109041191499784
A28,8,1,1.6322776877060872,0.9341641013157499
A29,0.5,1,1.3204166225187655,1
A29,1,1,1.3183839465613643,1.0342899975282944
A29,16,1,1.3461880498358219,0.9384007249605446
A29,2,1,1.4121048273115597,1.0153721521083254
A29,32,1,1.4026674032236237,0.9664212509662143
A29,4,1,1.478965347196091,0.9551098629680894
A29,8,1,1.5307259885399251,1.0353155325386278
A30,0.5,1,1.5254480630312668,1
A30,1,1,1.557080950364568,0.9554334469869279
A30,16,1,1.5995876427186908,0.9590953403588226
A30,2,1,1.5880847745974906,0.9362963810693984
A30,32,1,1.6388591534137265,0.9950354480636752
A30,4,1,1.6448801859459172,0.9031435107347906
A30,8,1,1.6791191918379278,0.969567953308507
A31,0.5,1,1.4371281119399466,1
A31,1,1,1.4704481769776192,0.9533220358876175
A31,16,1,1.4033936182326514,0.9448755305771721
A31,2,1,1.4310774533634538,0.9574700784627312
A31,32,1,1.392950015758157,0.9403186716967566
A31,4,1,1.4925786679354762,0.8890413445194357
A31,8,1,1.439697569691608,0.9590764382112323
A32,0.5,1,1.4830141958243586,1
A32,1,1,1.471820355828429,0.9994219248152962
A32,16,1,1.6234460066823833,1.050266111134357
A32,2,1,1.4592388497173017,0.9933090791682705
A32,32,1,1.6737720311268929,1.0392225446390335
A32,4,1,1.4465648325318277,0.9221471540591872
A32,8,1,1.6354724463474313,1.0400482435933753
A33,0.5,1,1.5501594125273166,1
A33,1,1,1.4917146975908586,1.0071435648507578
A33,16,1,1.6296872516249012,1.0955417468075557
A33,2,1,1.663606699680048,1.0413649210057059
A33,32,1,1.6758693331207037,1.1472825473746557
A33,4,1,1.5319447406330093,1.003039195833191
A33,8,1,1.5781268221288114,1.028682259540425
A34,0.5,1,1.3568916575645336,1
A34,1,1,1.488620196222349,1.0746654519807057
A34,16,1,1.6853085011346425,1.132256512675198
A34,2,1,1.5435482011058825,1.067611163545337
A34,32,1,1.7886685342762616,1.1811185304619163
A34,4,1,1.4063104164492695,0.9998063358359972
A34,8,1,1.5283361039450234,1.0647064896124931
A35,0.5,1,1.4998188897510754,1
A35,1,1,1.619207991760298,1.073409603614288
A35,16,1,1.7187257270604377,1.071227841401294
A35,2,1,1.6894416076996852,1.0512422900286573
A35,32,1,1.585096819757663,1.0010368492956605
A35,4,1,1.6380334970636385,1.050418175493554
A35,8,1,1.646963544451121,1.0540049511033298
A36,0.5,1,1.0688604139747295,1
A36,1,1,1.5974399201109821,1.1432056744185881
A36,16,1,1.6358437371859067,1.1617018908234042
A36,2,1,1.6674650185483149,1.17041955322664
A36,32,1,1.5586694794840297,1.053169299744512
A36,4,1,1.5342890132741729,1.1504971735715628
A36,8,1,1.5918489109425562,1.0905531566477307
A37,0.5,1,1.3866907227182368,1
A37,1,1,1.5799515120210539,1.0725706189428188
A37,16,1,1.6582141457056656,1.106360889780727
A37,2,1,1.6019650478489351,1.0621087140581196
A37,32,1,1.40009328554089,1.011591370526636
A37,4,1,1.6652973654357728,1.1172151657861222
A37,8,1,1.6583530323670403,1.0566867636536545
A38,0.5,1,1.2712865979572636,1
A38,1,1,1.4390337439397596,1.0790979704441324
A38,16,1,1.3641085399851678,1.0969663248262906
A38,2,1,1.6133646640321266,1.0844527241802824
A38,32,1,1.2145363197144294,1.0529838658204291
A38,4,1,1.4926312289468808,1.1325742989887284
A38,8,1,1.4509030831800909,1.0892236713079493
A39,0.5,1,1.4068382980303333,1
A39,1,1,1.4638607506903374,1.1472477565519101
A39,16,1,1.5966803955256124,1.0922575369370477
A39,2,1,1.6585904869850454,1.142210906036712
A39,32,1,1.5862068838125503,1.0480442383671082
A39,4,1,1.7244572384249686,1.1584640379018536
A39,8,1,1.7420682544165618,1.1150790284663779
A40,0.5,>32,1.407109079842219,1
A40,1,>32,1.5154598305599214,1.104027864190057
A40,16,>32,1.7572981058806652,1.102355017322614
A40,2,>32,1.680011905576487,1.159961738208752
A40,32,>32,1.4258678663238156,0.9902813449741837
A40,4,>32,1.6870652092935672,1.2216744451120527
A40,8,>32,1.6869151390017145,1.0989130859819527
A41,0.5,1,1.2593603401697842,1
A41,1,1,1.4096010047973282,1.1222203999607194
A41,16,1,1.5529806530848493,1.1198658034077558
A41,2,1,1.48249930341007,1.1421843473371798
A41,32,1,1.5398043830682147,1.1006191685739266
A41,4,1,1.6672789480220467,1.23476317402691
A41,8,1,1.5784755660756156,1.1198085517720833
A42,0.5,1,1.4094573741260912,1
A42,1,1,1.504674406060163,1.069821363933173
A42,16,1,1.5807429023923512,1.0549460537698394
A42,2,1,1.6570366756139736,1.1533961565136097
A42,32,1,1.3816732244292405,0.9898291613809478
A42,4,1,1.5476271996455644,1.1080139213934712
A42,8,1,1.6001167148836688,1.1150544892998762
A43,0.5,1,1.49259135199657,1
A43,1,1,1.5802914547164024,0.9315730218556463
A43,16,1,1.5852646339327943,0.9587464238576591
A43,2,1,1.5404103829234141,1.0058747261747467
A43,32,1,1.3643407110507733,0.9499649599994099
A43,4,1,1.4789151091514923,1.0861160249810822
A43,8,1,1.4859923257286654,0.9463402626697355
A44,0.5,1,1.3592758620485554,1
A44,1,1,1.6317331806002402,1.0367918247434522
A44,16,1,1.57646279389891,1.0725796762582354
A44,2,1,1.5948586347500275,1.0497566193811971
A44,32,1,1.5996647553327517,1.0848937929021631
A44,4,1,1.5963501894136316,1.0646036011392226
A44,8,1,1.5991675704448838,1.0809422574044616
A45,0.5,1,1.325482033658261,1
A45,1,1,1.6256122695984743,1.1187422000690737
A45,16,1,1.6591552975641182,1.1525236418316391
A45,2,1,1.3854601622349239,1.0548149855263425
A45,32,1,1.6755274897854444,1.1336486634299463
A45,4,1,1.4895234132807194,1.0904533452316438
A45,8,1,1.510847195344593,1.115535223374733
A46,0.5,1,1.5323182939604514,1
A46,1,1,1.709658184144224,1.0468219938554102
A46,16,1,1.4633082009477616,1.0068573432884542
A46,2,1,1.5656196760537842,1.0194235989434104
A46,32,1,1.679646818113124,1.039487167683301
A46,4,1,1.49516518574548,1.0241547283236185
A46,8,1,1.6361544106562893,1.0318866465666927
A47,0.5,1,1.461353747010052,1
A47,1,1,1.7217975054801888,1.164392325415056
A47,16,1,1.5810252425107978,1.0560745862542447
A47,2,1,1.74387795143845,1.1452227490994753
A47,32,1,1.5593215959716196,1.0051625725463322
A47,4,1,1.6502056158544278,1.1204391107075105
A47,8,1,1.6349829193234764,1.1104485289863977
A48,0.5,1,1.3500283266216297,1
A48,1,1,1.7535764936176832,1.187303666435319
A48,16,1,1.7066802973784478,1.0681736825368977
A48,2,1,1.5615504958547786,1.075950248525682
A48,32,1,1.6040807540813724,0.9885426124188209
A48,4,1,1.5649378615542415,1.0399996557999331
A48,8,1,1.6098769131671207,1.092443044849427
A49,0.5,1,1.4025761786102726,1
A49,1,1,1.6123344057146176,1.15212294197717
A49,16,1,1.558853448387565,1.0982385895130562
A49,2,1,1.5250583208303945,1.099148752072647
A49,32,1,1.4542430833646742,1.0450359303102639
A49,4,1,1.5737689917626976,1.1558742153532977
A49,8,1,1.6551997961350444,1.1800169559935691
A50,0.5,1,1.3640120560161169,1
A50,1,1,1.6426044464524558,1.1761974970286413
A50,16,1,1.570690141762815,1.113459015579036
A50,2,1,1.507150011808943,1.110027727290565
A50,32,1,1.3326736495307152,1.0114751570748723
A50,4,1,1.5527331485149818,1.1468139304006149
A50,8,1,1.5817405991460973,1.1492353476377222
A51,0.5,>32,1.3749725258497845,1
A51,1,>32,1.8796603066913722,1.149226442804268
A51,16,>32,2.0583240400779084,1.1252975781900592
A51,2,>32,1.695672862536464,1.113464752247307
A51,32,>32,1.8762531317996145,1.0668120014850968
A51,4,>32,1.5808936583703814,1.102953569284286
A51,8,>32,1.5994201718443135,1.0906918278548212
A53,0.5,1,1.4163842901114814,1
A53,1,1,1.5635308489297342,1.1124582312075588
A53,16,1,1.5051796273293925,1.1041392952667421
A53,2,1,1.5806133804707039,1.1664600054949055
A53,32,1,1.3934666364104777,1.0617552686041758
A53,4,1,1.5982878809264596,1.194234744674844
A53,8,1,1.655201463733749,1.183092970265432
A54,0.5,2,1.389140221492749,1
A54,1,2,1.6852230350810788,1.1468442988927434
A54,16,2,1.6790087571125671,1.0489451002477912
A54,2,2,1.4451473849557914,1.0987361954472776
A54,32,2,1.5004465927009019,0.9952044010077815
A54,4,2,1.5244384253641432,1.1388673895568324
A54,8,2,1.6550169244493258,1.1219288520340298
A55,0.5,1,1.3126464839692287,1
A55,1,1,1.5779079589433398,1.1003755597404319
A55,16,1,1.4262495519865792,1.0380679323299504
A55,2,1,1.2669350413378664,1.0528741400482238
A55,32,1,1.4348063737599377,1.1363249253619927
A55,4,1,1.2332707030453116,1.0188289452259536
A55,8,1,1.2796576842377283,1.020682801587643
A56,0.5,>32,1.3441485916401563,1
A56,1,>32,1.4604247821287586,0.9808230955913186
A56,16,>32,1.5297056864817526,0.949287195191145
A56,2,>32,1.4174174487267874,0.9573634359615315
A56,32,>32,1.5096877276619258,0.9212770762195085
A56,4,>32,1.422734719038304,0.936674814802338
A56,8,>32,1.4537781942393633,0.9289569777861095
A57,0.5,1,1.370902315402398,1
A57,1,1,1.5499024926884193,1.104024690956332
A57,16,1,1.561384991270718,1.2025563732950155
A57,2,1,1.4676934384212856,1.1808740618278821
A57,32,1,1.5178501193451923,1.0708745122521375
A57,4,1,1.5756852809161577,1.1674700033550671
A57,8,1,1.5510296091136755,1.170820055812259
A58,0.5,1,1.4442570726928763,1
A58,1,1,1.5271977133599561,1.151931278929104
A58,16,1,1.6185121687097699,1.215743830949738
A58,2,1,1.4727280426141722,1.1559256322205942
A58,32,1,1.6904472243652564,1.131475927596676
A58,4,1,1.7071151031146983,1.2378428174088991
A58,8,1,1.5885259370839793,1.202049669787507
A59,0.5,1,1.3107145674887386,1
A59,1,1,1.368121415985503,1.1610554394470196
A59,16,1,1.3817217295691606,1.137391592877588
A59,2,1,1.4050150843257012,1.193224886733172
A59,32,1,1.4168120414120782,0.998409291844174
A59,4,1,1.5534162960810811,1.2315983042765173
A59,8,1,1.5238111935840584,1.2126676227559738
A60,0.5,4,1.3590943321771967,1
A60,1,4,1.5167014147163316,1.1530611689081893
A60,16,4,1.537490299633634,1.0887998449366925
A60,2,4,1.4879998054360417,1.138346542613596
A60,32,4,1.4172168893162294,0.94984534858175
A60,4,4,1.584319241090949,1.175062068831527
A60,8,4,1.5541789546537523,1.0959395806500858
A62,0.5,1,1.308244655049533,1
A62,1,1,1.5054737890628056,1.1919195538072775
A62,16,1,1.623867181344338,1.1648293773366931
A62,2,1,1.4702493087145814,1.140787167517205
A62,32,1,1.5061726874824133,1.0523311552299597
A62,4,1,1.497436457237318,1.1527458145704375
A62,8,1,1.5924866423039554,1.162321134914535
A63,0.5,1,1.3416907812901695,1
A63,1,1,1.431729212204242,1.1202961390406831
A63,16,1,1.5437455278296233,1.1270409713874692
A63,2,1,1.3173024189008458,1.0985978900392523
A63,32,1,1.5613278355986704,1.0384086019620395
A63,4,1,1.2822086997650461,1.0705540687846704
A63,8,1,1.453210822099489,1.134302760822478
A64,0.5,1,1.4992021119901322,1
A64,1,1,1.5671197433721393,1.0762494401870835
A64,16,1,1.7059635390877377,1.0518435564673163
A64,2,1,1.5101832572634135,1.035716700653186
A64,32,1,1.5489933323388463,0.9220364749913131
A64,4,1,1.5495950389291628,1.0836951461003324
A64,8,1,1.5781761019692104,1.0289675719636373
A65,0.5,>32,1.034408388262022,1
A65,1,>32,1.2078964990945391,1.1911878290267202
A65,16,>32,1.4433577074741828,1.17409439740429
A65,2,>32,1.1266367885939554,1.1812915048137635
A65,32,>32,1.428915599196239,1.10546650494032
A65,4,>32,0.9744462171839761,1.1113273243385677
A65,8,>32,1.2365979041532378,1.1885618216181786
A66,0.5,>32,1.3859158641128817,1
A66,1,>32,1.5337026412199382,1.0718808159948572
A66,16,>32,1.578439495882267,1.021493643355492
A66,2,>32,1.4135854794242642,1.0185516826658618
A66,32,>32,1.5587863111751166,0.9681149041272328
A66,4,>32,1.4932325963953461,1.0610944752963138
A66,8,>32,1.5093947548716211,1.0923994466925706
A67,0.5,1,1.320537814103996,1
A67,1,1,1.4377884926867432,1.0522633856790538
A67,16,1,1.5035358809764108,1.070234324623315
A67,2,1,1.4112649998655116,1.071835992574922
A67,32,1,1.5523026204228558,1.0366584395480125
A67,4,1,1.4457174733449423,1.0796702675486454
A67,8,1,1.4681010559110086,1.0792198984438988
A68,0.5,>32,1.308692414029081,1
A68,1,>32,1.4779492453498013,1.055620280418519
A68,16,>32,1.6048715937048215,1.0243344653405997
A68,2,>32,1.4735698160774873,1.0369200434743717
A68,32,>32,1.7047063610051603,1.005858957675689
A68,4,>32,1.529772491738848,1.0154098187423626
A68,8,>32,1.6092510229771353,1.0346198686726376
