Strain,Drug,Enviro,MIC50,OD,Activity_norm,Species,RAD50,FoG50
HSC012,BA,0.2,0.78125,1.2554053109117107,1,C.albicans,14.25,0.2075
HSC012,BA,1.56,0.78125,1.1517286148231796,0.9209125620995796,C.albicans,14.25,0.2075
HSC012,BA,0.39,0.78125,1.4273775852414596,1.0882101728207527,C.albicans,14.25,0.2075
HSC012,BA,0.78,0.78125,1.1990576047104347,1.0218729959883168,C.albicans,14.25,0.2075
HSC012,BA,12.5,0.78125,0.7185218995685,0.5995892912441168,C.albicans,14.25,0.2075
HSC012,BA,3.12,0.78125,1.1016246353008412,0.8393139585128672,C.albicans,14.25,0.2075
HSC012,BA,6.25,0.78125,0.9550897659593564,0.6521246763413284,C.albicans,14.25,0.2075
HSC012,FLC,1,1,1.3183839465613643,1.0342899975282944,C.albicans,20.75,0.225
HSC012,FLC,0.5,1,1.3204166225187655,1,C.albicans,20.75,0.225
HSC012,FLC,4,1,1.478965347196091,0.9551098629680894,C.albicans,20.75,0.225
HSC012,FLC,16,1,1.3461880498358219,0.9384007249605446,C.albicans,20.75,0.225
HSC012,FLC,2,1,1.4121048273115597,1.0153721521083254,C.albicans,20.75,0.225
HSC012,FLC,32,1,1.4026674032236237,0.9664212509662143,C.albicans,20.75,0.225
HSC012,FLC,8,1,1.5307259885399251,1.0353155325386278,C.albicans,20.75,0.225
HSC014,BA,6.25,0.78125,1.0770935148091014,0.5593280841498544,C.albicans,12.66666667,0.121666667
HSC014,BA,3.12,0.78125,1.0410551425231818,0.5864499958411322,C.albicans,12.66666667,0.121666667
HSC014,BA,12.5,0.78125,0.7531040987769198,0.5904302897950342,C.albicans,12.66666667,0.121666667
HSC014,BA,0.39,0.78125,1.6158894263924193,1.0776377818187495,C.albicans,12.66666667,0.121666667
HSC014,BA,1.56,0.78125,1.1970434551582858,0.9436780748254464,C.albicans,12.66666667,0.121666667
HSC014,BA,0.78,0.78125,1.3898709927967747,1.1231625556000013,C.albicans,12.66666667,0.121666667
HSC014,BA,0.2,0.78125,1.5157828367093087,1,C.albicans,12.66666667,0.121666667
HSC014,FLC,8,1,1.6791191918379278,0.969567953308507,C.albicans,19.66666667,0.358333333
HSC014,FLC,16,1,1.5995876427186908,0.9590953403588226,C.albicans,19.66666667,0.358333333
HSC014,FLC,0.5,1,1.5254480630312668,1,C.albicans,19.66666667,0.358333333
HSC014,FLC,1,1,1.557080950364568,0.9554334469869279,C.albicans,19.66666667,0.358333333
HSC014,FLC,2,1,1.5880847745974906,0.9362963810693984,C.albicans,19.66666667,0.358333333
HSC014,FLC,32,1,1.6388591534137265,0.9950354480636752,C.albicans,19.66666667,0.358333333
HSC014,FLC,4,1,1.6448801859459172,0.9031435107347906,C.albicans,19.66666667,0.358333333
HSC015,BA,0.2,0.78125,1.4337534757351116,1,C.albicans,11.5,0.096666667
HSC015,BA,1.56,0.78125,1.061382115497816,0.9836542444512814,C.albicans,11.5,0.096666667
HSC015,BA,0.39,0.78125,1.4170899811033142,0.9688610767826844,C.albicans,11.5,0.096666667
HSC015,BA,6.25,0.78125,0.9328587262090019,0.5987873550930825,C.albicans,11.5,0.096666667
HSC015,BA,12.5,0.78125,0.6433923763922826,0.6631901811211854,C.albicans,11.5,0.096666667
HSC015,BA,0.78,0.78125,1.2771826202343612,1.1628321209345416,C.albicans,11.5,0.096666667
HSC015,BA,3.12,0.78125,1.0287975591633605,0.8211584939776184,C.albicans,11.5,0.096666667
HSC015,FLC,0.5,1,1.4371281119399466,1,C.albicans,17.5,0.238333333
HSC015,FLC,32,1,1.392950015758157,0.9403186716967566,C.albicans,17.5,0.238333333
HSC015,FLC,1,1,1.4704481769776192,0.9533220358876175,C.albicans,17.5,0.238333333
HSC015,FLC,16,1,1.4033936182326514,0.9448755305771721,C.albicans,17.5,0.238333333
HSC015,FLC,2,1,1.4310774533634538,0.9574700784627312,C.albicans,17.5,0.238333333
HSC015,FLC,4,1,1.4925786679354762,0.8890413445194357,C.albicans,17.5,0.238333333
HSC015,FLC,8,1,1.439697569691608,0.9590764382112323,C.albicans,17.5,0.238333333
HSC020,BA,3.12,0.78125,1.041214993296188,0.6028028608781337,C.albicans,12.16666667,0.17
HSC020,BA,6.25,0.78125,1.0653185870989816,0.5434011553650974,C.albicans,12.16666667,0.17
HSC020,BA,12.5,0.78125,0.8878558777259119,0.687755343034177,C.albicans,12.16666667,0.17
HSC020,BA,0.2,0.78125,1.5718957835210328,1,C.albicans,12.16666667,0.17
HSC020,BA,1.56,0.78125,1.1749899389016938,0.8474690634902787,C.albicans,12.16666667,0.17
HSC020,BA,0.78,0.78125,1.4356100468944022,1.1545171122925746,C.albicans,12.16666667,0.17
HSC020,BA,0.39,0.78125,1.5963006722463613,1.0669873763534903,C.albicans,12.16666667,0.17
HSC020,FLC,4,1,1.4465648325318277,0.9221471540591872,C.albicans,19,0.43
HSC020,FLC,8,1,1.6354724463474313,1.0400482435933753,C.albicans,19,0.43
HSC020,FLC,0.5,1,1.4830141958243586,1,C.albicans,19,0.43
HSC020,FLC,1,1,1.471820355828429,0.9994219248152962,C.albicans,19,0.43
HSC020,FLC,16,1,1.6234460066823833,1.050266111134357,C.albicans,19,0.43
HSC020,FLC,2,1,1.4592388497173017,0.9933090791682705,C.albicans,19,0.43
HSC020,FLC,32,1,1.6737720311268929,1.0392225446390335,C.albicans,19,0.43
HSC028,BA,0.39,0.78125,1.5240526174810822,0.9958567922004194,C.albicans,12.16666667,0.163333333
HSC028,BA,0.2,0.78125,1.466495626728034,1,C.albicans,12.16666667,0.163333333
HSC028,BA,1.56,0.78125,1.2062532820348035,0.9690426564772194,C.albicans,12.16666667,0.163333333
HSC028,BA,0.78,0.78125,1.51190562065958,1.1075533609485395,C.albicans,12.16666667,0.163333333
HSC028,BA,3.12,0.78125,1.070658898911058,0.8060940598017167,C.albicans,12.16666667,0.163333333
HSC028,BA,6.25,0.78125,0.989443513185898,0.733240571764145,C.albicans,12.16666667,0.163333333
HSC028,BA,12.5,0.78125,0.9561098940013104,0.7716343941111251,C.albicans,12.16666667,0.163333333
HSC028,FLC,2,1,1.663606699680048,1.0413649210057059,C.albicans,19.83333333,0.361666667
HSC028,FLC,0.5,1,1.5501594125273166,1,C.albicans,19.83333333,0.361666667
HSC028,FLC,1,1,1.4917146975908586,1.0071435648507578,C.albicans,19.83333333,0.361666667
HSC028,FLC,16,1,1.6296872516249012,1.0955417468075557,C.albicans,19.83333333,0.361666667
HSC028,FLC,4,1,1.5319447406330093,1.003039195833191,C.albicans,19.83333333,0.361666667
HSC028,FLC,8,1,1.5781268221288114,1.028682259540425,C.albicans,19.83333333,0.361666667
HSC028,FLC,32,1,1.6758693331207037,1.1472825473746557,C.albicans,19.83333333,0.361666667
HSC029,BA,3.12,0.78125,0.8049985753918557,0.6282785424179618,C.albicans,13.16666667,0.138333333
HSC029,BA,12.5,0.78125,0.7196046727147132,0.5403476122704408,C.albicans,13.16666667,0.138333333
HSC029,BA,6.25,0.78125,0.7798924376608584,0.5953881371547525,C.albicans,13.16666667,0.138333333
HSC029,BA,0.39,0.78125,1.3408164095981425,0.8836361891255995,C.albicans,13.16666667,0.138333333
HSC029,BA,0.78,0.78125,1.498225286293146,0.998949066193714,C.albicans,13.16666667,0.138333333
HSC029,BA,1.56,0.78125,1.0288065795069972,0.8711825252443667,C.albicans,13.16666667,0.138333333
HSC029,BA,0.2,0.78125,1.6107073902063647,1,C.albicans,13.16666667,0.138333333
HSC029,FLC,8,1,1.5283361039450234,1.0647064896124931,C.albicans,19.16666667,0.47
HSC029,FLC,32,1,1.7886685342762616,1.1811185304619163,C.albicans,19.16666667,0.47
HSC029,FLC,4,1,1.4063104164492695,0.9998063358359972,C.albicans,19.16666667,0.47
HSC029,FLC,0.5,1,1.3568916575645336,1,C.albicans,19.16666667,0.47
HSC029,FLC,1,1,1.488620196222349,1.0746654519807057,C.albicans,19.16666667,0.47
HSC029,FLC,16,1,1.6853085011346425,1.132256512675198,C.albicans,19.16666667,0.47
HSC029,FLC,2,1,1.5435482011058825,1.067611163545337,C.albicans,19.16666667,0.47
HSC030,BA,0.2,0.78125,1.635158301671534,1,C.albicans,12,0.146666667
HSC030,BA,0.39,0.78125,1.5993997395282615,0.9563526805780637,C.albicans,12,0.146666667
HSC030,BA,3.12,0.78125,1.0077301112909718,0.6310745295548519,C.albicans,12,0.146666667
HSC030,BA,0.78,0.78125,1.5203464021448545,0.9839223622115275,C.albicans,12,0.146666667
HSC030,BA,12.5,0.78125,0.733734935126498,0.5305614468027432,C.albicans,12,0.146666667
HSC030,BA,6.25,0.78125,0.9116049442391638,0.5726003201902777,C.albicans,12,0.146666667
HSC030,BA,1.56,0.78125,1.1302320241817962,0.750907009875087,C.albicans,12,0.146666667
HSC030,FLC,2,1,1.6894416076996852,1.0512422900286573,C.albicans,19.16666667,0.335
HSC030,FLC,0.5,1,1.4998188897510754,1,C.albicans,19.16666667,0.335
HSC030,FLC,1,1,1.619207991760298,1.073409603614288,C.albicans,19.16666667,0.335
HSC030,FLC,16,1,1.7187257270604377,1.071227841401294,C.albicans,19.16666667,0.335
HSC030,FLC,8,1,1.646963544451121,1.0540049511033298,C.albicans,19.16666667,0.335
HSC030,FLC,32,1,1.585096819757663,1.0010368492956605,C.albicans,19.16666667,0.335
HSC030,FLC,4,1,1.6380334970636385,1.050418175493554,C.albicans,19.16666667,0.335
HSC034,BA,3.12,0.78125,0.9576699611106648,0.5469062881298254,C.albicans,12.25,0.1225
HSC034,BA,6.25,0.78125,0.8354733380901496,0.5328436813403853,C.albicans,12.25,0.1225
HSC034,BA,1.56,0.78125,1.0410245021037774,0.7867135736160786,C.albicans,12.25,0.1225
HSC034,BA,0.2,0.78125,1.6251678330317008,1,C.albicans,12.25,0.1225
HSC034,BA,0.78,0.78125,1.528582412515872,0.9649769353095836,C.albicans,12.25,0.1225
HSC034,BA,12.5,0.78125,0.558664437218464,0.5516155113052154,C.albicans,12.25,0.1225
HSC034,BA,0.39,0.78125,1.515635051840071,0.9616249734015981,C.albicans,12.25,0.1225
HSC034,FLC,4,1,1.5342890132741729,1.1504971735715628,C.albicans,20.75,0.375
HSC034,FLC,32,1,1.5586694794840297,1.053169299744512,C.albicans,20.75,0.375
HSC034,FLC,0.5,1,1.0688604139747295,1,C.albicans,20.75,0.375
HSC034,FLC,8,1,1.5918489109425562,1.0905531566477307,C.albicans,20.75,0.375
HSC034,FLC,16,1,1.6358437371859067,1.1617018908234042,C.albicans,20.75,0.375
HSC034,FLC,2,1,1.6674650185483149,1.17041955322664,C.albicans,20.75,0.375
HSC034,FLC,1,1,1.5974399201109821,1.1432056744185881,C.albicans,20.75,0.375
HSC038,BA,0.39,0.78125,1.5240623466726975,0.9860270188827951,C.albicans,12.33333333,0.153333333
HSC038,BA,0.78,0.78125,1.5327590834066553,1.1078555049793195,C.albicans,12.33333333,0.153333333
HSC038,BA,3.12,0.78125,0.9516404171133532,0.7273777447706875,C.albicans,12.33333333,0.153333333
HSC038,BA,0.2,0.78125,1.469911571852662,1,C.albicans,12.33333333,0.153333333
HSC038,BA,12.5,0.78125,0.6817698053377192,0.6231255068635483,C.albicans,12.33333333,0.153333333
HSC038,BA,1.56,0.78125,1.2327216660851048,0.9722272727652819,C.albicans,12.33333333,0.153333333
HSC038,BA,6.25,0.78125,1.0156429640148252,0.7322253488415328,C.albicans,12.33333333,0.153333333
HSC038,FLC,16,1,1.6582141457056656,1.106360889780727,C.albicans,18.5,0.358333333
HSC038,FLC,0.5,1,1.3866907227182368,1,C.albicans,18.5,0.358333333
HSC038,FLC,1,1,1.5799515120210539,1.0725706189428188,C.albicans,18.5,0.358333333
HSC038,FLC,4,1,1.6652973654357728,1.1172151657861222,C.albicans,18.5,0.358333333
HSC038,FLC,8,1,1.6583530323670403,1.0566867636536545,C.albicans,18.5,0.358333333
HSC038,FLC,2,1,1.6019650478489351,1.0621087140581196,C.albicans,18.5,0.358333333
HSC038,FLC,32,1,1.40009328554089,1.011591370526636,C.albicans,18.5,0.358333333
HSC041,BA,6.25,0.390625,0.967181126410137,0.6169992517625567,C.albicans,11.5,0.126666667
HSC041,BA,3.12,0.390625,1.0455079364984385,0.713747898332492,C.albicans,11.5,0.126666667
HSC041,BA,0.39,0.390625,1.4913424640812638,0.983836975681415,C.albicans,11.5,0.126666667
HSC041,BA,1.56,0.390625,1.171082148607919,0.8927953461572105,C.albicans,11.5,0.126666667
HSC041,BA,12.5,0.390625,0.7271743767812767,0.6103005188184282,C.albicans,11.5,0.126666667
HSC041,BA,0.78,0.390625,1.3286572606679143,0.9923534241382751,C.albicans,11.5,0.126666667
HSC041,BA,0.2,0.390625,1.446105589805667,1,C.albicans,11.5,0.126666667
HSC041,FLC,2,1,1.6133646640321266,1.0844527241802824,C.albicans,18.33333333,0.261666667
HSC041,FLC,32,1,1.2145363197144294,1.0529838658204291,C.albicans,18.33333333,0.261666667
HSC041,FLC,4,1,1.4926312289468808,1.1325742989887284,C.albicans,18.33333333,0.261666667
HSC041,FLC,8,1,1.4509030831800909,1.0892236713079493,C.albicans,18.33333333,0.261666667
HSC041,FLC,16,1,1.3641085399851678,1.0969663248262906,C.albicans,18.33333333,0.261666667
HSC041,FLC,0.5,1,1.2712865979572636,1,C.albicans,18.33333333,0.261666667
HSC041,FLC,1,1,1.4390337439397596,1.0790979704441324,C.albicans,18.33333333,0.261666667
HSC042,BA,12.5,0.78125,0.6577650493541387,0.6629812939261747,C.albicans,11.5,0.118333333
HSC042,BA,0.39,0.78125,1.5254972535438274,0.9805134915361552,C.albicans,11.5,0.118333333
HSC042,BA,3.12,0.78125,1.0469934768628684,0.6681340881818298,C.albicans,11.5,0.118333333
HSC042,BA,6.25,0.78125,0.9189389116657839,0.6327017892876885,C.albicans,11.5,0.118333333
HSC042,BA,0.2,0.78125,1.5970838375117373,1,C.albicans,11.5,0.118333333
HSC042,BA,0.78,0.78125,1.5045579887506797,1.0230994218587417,C.albicans,11.5,0.118333333
HSC042,BA,1.56,0.78125,1.287832818490915,0.7553572644198248,C.albicans,11.5,0.118333333
HSC042,FLC,1,1,1.4638607506903374,1.1472477565519101,C.albicans,18,0.403333333
HSC042,FLC,0.5,1,1.4068382980303333,1,C.albicans,18,0.403333333
HSC042,FLC,2,1,1.6585904869850454,1.142210906036712,C.albicans,18,0.403333333
HSC042,FLC,32,1,1.5862068838125503,1.0480442383671082,C.albicans,18,0.403333333
HSC042,FLC,4,1,1.7244572384249686,1.1584640379018536,C.albicans,18,0.403333333
HSC042,FLC,16,1,1.5966803955256124,1.0922575369370477,C.albicans,18,0.403333333
HSC042,FLC,8,1,1.7420682544165618,1.1150790284663779,C.albicans,18,0.403333333
HSC043,BA,1.56,0.78125,1.2879626454163127,0.782256887149395,C.albicans,11,0.106666667
HSC043,BA,12.5,0.78125,0.7515434041163218,0.7978230254901961,C.albicans,11,0.106666667
HSC043,BA,0.78,0.78125,1.464176972588939,0.9428981299966221,C.albicans,11,0.106666667
HSC043,BA,0.39,0.78125,1.5873129761111873,0.9922087929096466,C.albicans,11,0.106666667
HSC043,BA,6.25,0.78125,1.123163011501832,0.847414143117358,C.albicans,11,0.106666667
HSC043,BA,3.12,0.78125,1.140641760553368,0.8117337241987754,C.albicans,11,0.106666667
HSC043,BA,0.2,0.78125,1.5058406029811713,1,C.albicans,11,0.106666667
HSC043,FLC,16,>32,1.7572981058806652,1.102355017322614,C.albicans,18.66666667,0.64
HSC043,FLC,2,>32,1.680011905576487,1.159961738208752,C.albicans,18.66666667,0.64
HSC043,FLC,32,>32,1.4258678663238156,0.9902813449741837,C.albicans,18.66666667,0.64
HSC043,FLC,8,>32,1.6869151390017145,1.0989130859819527,C.albicans,18.66666667,0.64
HSC043,FLC,1,>32,1.5154598305599214,1.104027864190057,C.albicans,18.66666667,0.64
HSC043,FLC,4,>32,1.6870652092935672,1.2216744451120527,C.albicans,18.66666667,0.64
HSC043,FLC,0.5,>32,1.407109079842219,1,C.albicans,18.66666667,0.64
HSC044,BA,0.2,0.78125,1.4270373752482564,1,C.albicans,12.16666667,0.091666667
HSC044,BA,0.78,0.78125,1.4560826639315774,0.9950278394581781,C.albicans,12.16666667,0.091666667
HSC044,BA,3.12,0.78125,0.9823696052780287,0.7043738249935423,C.albicans,12.16666667,0.091666667
HSC044,BA,6.25,0.78125,1.0152034098765652,0.7280693061447936,C.albicans,12.16666667,0.091666667
HSC044,BA,12.5,0.78125,0.7719955450448706,0.7273547191448125,C.albicans,12.16666667,0.091666667
HSC044,BA,0.39,0.78125,1.5106818638861579,1.0427128095419842,C.albicans,12.16666667,0.091666667
HSC044,BA,1.56,0.78125,1.084288111859912,0.7337736557842017,C.albicans,12.16666667,0.091666667
HSC044,FLC,1,1,1.4096010047973282,1.1222203999607194,C.albicans,18.16666667,0.563333333
HSC044,FLC,0.5,1,1.2593603401697842,1,C.albicans,18.16666667,0.563333333
HSC044,FLC,32,1,1.5398043830682147,1.1006191685739266,C.albicans,18.16666667,0.563333333
HSC044,FLC,4,1,1.6672789480220467,1.23476317402691,C.albicans,18.16666667,0.563333333
HSC044,FLC,16,1,1.5529806530848493,1.1198658034077558,C.albicans,18.16666667,0.563333333
HSC044,FLC,2,1,1.48249930341007,1.1421843473371798,C.albicans,18.16666667,0.563333333
HSC044,FLC,8,1,1.5784755660756156,1.1198085517720833,C.albicans,18.16666667,0.563333333
HSC046,BA,12.5,0.78125,0.755804862934982,0.9038340352400345,C.albicans,10.66666667,0.16166666699999999
