Strain,Drug,Enviro,MIC50,OD,Activity_norm,Species,RAD50,FoG50
HSC046,BA,6.25,0.78125,1.075292990211443,0.9099585807201502,C.albicans,10.66666667,0.16166666699999999
HSC046,BA,1.56,0.78125,1.2250935803349796,0.7720153468199019,C.albicans,10.66666667,0.16166666699999999
HSC046,BA,0.2,0.78125,1.4329698201167997,1,C.albicans,10.66666667,0.16166666699999999
HSC046,BA,0.78,0.78125,1.5489049569656554,1.0613873434348926,C.albicans,10.66666667,0.16166666699999999
HSC046,BA,0.39,0.78125,1.5288018474685574,1.079534901642434,C.albicans,10.66666667,0.16166666699999999
HSC046,BA,3.12,0.78125,1.0115971163926807,0.7461080412205385,C.albicans,10.66666667,0.16166666699999999
HSC046,FLC,16,1,1.5807429023923512,1.0549460537698394,C.albicans,16.83333333,0.5
HSC046,FLC,2,1,1.6570366756139736,1.1533961565136097,C.albicans,16.83333333,0.5
HSC046,FLC,4,1,1.5476271996455644,1.1080139213934712,C.albicans,16.83333333,0.5
HSC046,FLC,8,1,1.6001167148836688,1.1150544892998762,C.albicans,16.83333333,0.5
HSC046,FLC,32,1,1.3816732244292405,0.9898291613809478,C.albicans,16.83333333,0.5
HSC046,FLC,0.5,1,1.4094573741260912,1,C.albicans,16.83333333,0.5
HSC046,FLC,1,1,1.504674406060163,1.069821363933173,C.albicans,16.83333333,0.5
HSC047,BA,0.2,0.78125,1.4472712489811916,1,C.albicans,11,0.148333333
HSC047,BA,1.56,0.78125,1.1463859533893956,0.7476520366172866,C.albicans,11,0.148333333
HSC047,BA,6.25,0.78125,0.9665592517726106,0.7229699308360037,C.albicans,11,0.148333333
HSC047,BA,0.78,0.78125,1.3555967088270677,0.9428151187475741,C.albicans,11,0.148333333
HSC047,BA,3.12,0.78125,1.0330209760299482,0.7117464343982477,C.albicans,11,0.148333333
HSC047,BA,0.39,0.78125,1.4630292589166831,0.9728102067783195,C.albicans,11,0.148333333
HSC047,BA,12.5,0.78125,0.7599439332654901,0.8444074617327587,C.albicans,11,0.148333333
HSC047,FLC,0.5,1,1.49259135199657,1,C.albicans,17.5,0.613333333
HSC047,FLC,2,1,1.5404103829234141,1.0058747261747467,C.albicans,17.5,0.613333333
HSC047,FLC,32,1,1.3643407110507733,0.9499649599994099,C.albicans,17.5,0.613333333
HSC047,FLC,1,1,1.5802914547164024,0.9315730218556463,C.albicans,17.5,0.613333333
HSC047,FLC,16,1,1.5852646339327943,0.9587464238576591,C.albicans,17.5,0.613333333
HSC047,FLC,4,1,1.4789151091514923,1.0861160249810822,C.albicans,17.5,0.613333333
HSC047,FLC,8,1,1.4859923257286654,0.9463402626697355,C.albicans,17.5,0.613333333
HSC048,BA,3.12,0.78125,1.423303582956074,0.9605474069765771,C.albicans,11.25,0.2725
HSC048,BA,12.5,0.78125,1.104531691856615,0.8693440507603953,C.albicans,11.25,0.2725
HSC048,BA,0.78,0.78125,1.531504441732713,1.052039746769855,C.albicans,11.25,0.2725
HSC048,BA,1.56,0.78125,1.4334656343577292,0.9643300516573403,C.albicans,11.25,0.2725
HSC048,BA,0.39,0.78125,1.5669883261352135,1.0296947529147766,C.albicans,11.25,0.2725
HSC048,BA,6.25,0.78125,1.3115210175378682,0.8851744491862009,C.albicans,11.25,0.2725
HSC048,BA,0.2,0.78125,1.4633687200396486,1,C.albicans,11.25,0.2725
HSC048,FLC,1,1,1.6317331806002402,1.0367918247434522,C.albicans,17.5,0.4275
HSC048,FLC,16,1,1.57646279389891,1.0725796762582354,C.albicans,17.5,0.4275
HSC048,FLC,4,1,1.5963501894136316,1.0646036011392226,C.albicans,17.5,0.4275
HSC048,FLC,8,1,1.5991675704448838,1.0809422574044616,C.albicans,17.5,0.4275
HSC048,FLC,2,1,1.5948586347500275,1.0497566193811971,C.albicans,17.5,0.4275
HSC048,FLC,32,1,1.5996647553327517,1.0848937929021631,C.albicans,17.5,0.4275
HSC048,FLC,0.5,1,1.3592758620485554,1,C.albicans,17.5,0.4275
HSC051,BA,0.78,0.78125,1.206034311064596,0.9111789866599317,C.albicans,12.33333333,0.115
HSC051,BA,0.2,0.78125,1.5392257555580722,1,C.albicans,12.33333333,0.115
HSC051,BA,0.39,0.78125,1.4993927418000617,0.9925590639006293,C.albicans,12.33333333,0.115
HSC051,BA,1.56,0.78125,1.081067993392406,0.761279270702185,C.albicans,12.33333333,0.115
HSC051,BA,12.5,0.78125,0.8655791993564235,0.6798389696968424,C.albicans,12.33333333,0.115
HSC051,BA,3.12,0.78125,0.9635215508320023,0.69955885830848,C.albicans,12.33333333,0.115
HSC051,BA,6.25,0.78125,0.9011945998929977,0.5759299251727857,C.albicans,12.33333333,0.115
HSC051,FLC,0.5,1,1.5323182939604514,1,C.albicans,21.66666667,0.255
HSC051,FLC,1,1,1.709658184144224,1.0468219938554102,C.albicans,21.66666667,0.255
HSC051,FLC,16,1,1.4633082009477616,1.0068573432884542,C.albicans,21.66666667,0.255
HSC051,FLC,2,1,1.5656196760537842,1.0194235989434104,C.albicans,21.66666667,0.255
HSC051,FLC,32,1,1.679646818113124,1.039487167683301,C.albicans,21.66666667,0.255
HSC051,FLC,4,1,1.49516518574548,1.0241547283236185,C.albicans,21.66666667,0.255
HSC051,FLC,8,1,1.6361544106562893,1.0318866465666927,C.albicans,21.66666667,0.255
HSC054,BA,0.2,0.78125,1.603500287906797,1,C.albicans,13.16666667,0.12
HSC054,BA,6.25,0.78125,0.9230168397538412,0.6838674246742781,C.albicans,13.16666667,0.12
HSC054,BA,1.56,0.78125,1.2346031620929971,0.89524967725637,C.albicans,13.16666667,0.12
HSC054,BA,3.12,0.78125,1.0471079041737956,0.8461412787729101,C.albicans,13.16666667,0.12
HSC054,BA,12.5,0.78125,0.7971965700566344,0.6820211099046266,C.albicans,13.16666667,0.12
HSC054,BA,0.39,0.78125,1.5263447952979732,0.9933050457183671,C.albicans,13.16666667,0.12
HSC054,BA,0.78,0.78125,1.2276863409839884,0.8898441801422872,C.albicans,13.16666667,0.12
HSC054,FLC,0.5,1,1.461353747010052,1,C.albicans,18,0.523333333
HSC054,FLC,1,1,1.7217975054801888,1.164392325415056,C.albicans,18,0.523333333
HSC054,FLC,16,1,1.5810252425107978,1.0560745862542447,C.albicans,18,0.523333333
HSC054,FLC,2,1,1.74387795143845,1.1452227490994753,C.albicans,18,0.523333333
HSC054,FLC,32,1,1.5593215959716196,1.0051625725463322,C.albicans,18,0.523333333
HSC054,FLC,4,1,1.6502056158544278,1.1204391107075105,C.albicans,18,0.523333333
HSC054,FLC,8,1,1.6349829193234764,1.1104485289863977,C.albicans,18,0.523333333
HSC055,BA,0.78,0.78125,1.0420347751652133,0.9340100113889872,C.albicans,13,0.106666667
HSC055,BA,0.39,0.78125,1.337126590290191,1.0171837841553322,C.albicans,13,0.106666667
HSC055,BA,3.12,0.78125,0.991951136542613,0.7161440381867817,C.albicans,13,0.106666667
HSC055,BA,0.2,0.78125,1.522624584075698,1,C.albicans,13,0.106666667
HSC055,BA,6.25,0.78125,0.8494053958475194,0.4837965011415771,C.albicans,13,0.106666667
HSC055,BA,1.56,0.78125,1.0442479637786508,0.8802051644832266,C.albicans,13,0.106666667
HSC055,BA,12.5,0.78125,0.7633369497694009,0.5723700472038947,C.albicans,13,0.106666667
HSC055,FLC,0.5,1,1.3500283266216297,1,C.albicans,18.66666667,0.37
HSC055,FLC,1,1,1.7535764936176832,1.187303666435319,C.albicans,18.66666667,0.37
HSC055,FLC,16,1,1.7066802973784478,1.0681736825368977,C.albicans,18.66666667,0.37
HSC055,FLC,2,1,1.5615504958547786,1.075950248525682,C.albicans,18.66666667,0.37
HSC055,FLC,32,1,1.6040807540813724,0.9885426124188209,C.albicans,18.66666667,0.37
HSC055,FLC,4,1,1.5649378615542415,1.0399996557999331,C.albicans,18.66666667,0.37
HSC055,FLC,8,1,1.6098769131671207,1.092443044849427,C.albicans,18.66666667,0.37
HSC057,BA,6.25,0.390625,1.1337258794315972,0.8582928714124134,C.albicans,12.83333333,0.158333333
HSC057,BA,0.39,0.390625,1.364732311583171,0.8869451752558867,C.albicans,12.83333333,0.158333333
HSC057,BA,0.2,0.390625,1.6123401234153631,1,C.albicans,12.83333333,0.158333333
HSC057,BA,3.12,0.390625,1.2523374389369466,0.8783906785607972,C.albicans,12.83333333,0.158333333
HSC057,BA,12.5,0.390625,0.9545722672186332,0.7974642355898387,C.albicans,12.83333333,0.158333333
HSC057,BA,0.78,0.390625,1.3123143382937312,0.8307185206469169,C.albicans,12.83333333,0.158333333
HSC057,BA,1.56,0.390625,1.201685569868849,0.7813794366269908,C.albicans,12.83333333,0.158333333
HSC057,FLC,0.5,1,1.4025761786102726,1,C.albicans,18.33333333,0.363333333
HSC057,FLC,1,1,1.6123344057146176,1.15212294197717,C.albicans,18.33333333,0.363333333
HSC057,FLC,16,1,1.558853448387565,1.0982385895130562,C.albicans,18.33333333,0.363333333
HSC057,FLC,2,1,1.5250583208303945,1.099148752072647,C.albicans,18.33333333,0.363333333
HSC057,FLC,32,1,1.4542430833646742,1.0450359303102639,C.albicans,18.33333333,0.363333333
HSC057,FLC,4,1,1.5737689917626976,1.1558742153532977,C.albicans,18.33333333,0.363333333
HSC057,FLC,8,1,1.6551997961350444,1.1800169559935691,C.albicans,18.33333333,0.363333333
HSC058,BA,0.78,0.390625,1.1349826386281965,0.9086416415228906,C.albicans,13.66666667,0.09
HSC058,BA,0.2,0.390625,1.4874836552039368,1,C.albicans,13.66666667,0.09
HSC058,BA,0.39,0.390625,1.1291804988038343,0.863086905784748,C.albicans,13.66666667,0.09
HSC058,BA,3.12,0.390625,1.277429375765435,0.8658704552184994,C.albicans,13.66666667,0.09
HSC058,BA,6.25,0.390625,0.788283761876818,0.5968512218438599,C.albicans,13.66666667,0.09
HSC058,BA,1.56,0.390625,1.1018515793412589,0.8548432009629318,C.albicans,13.66666667,0.09
HSC058,BA,12.5,0.390625,0.7216011983881344,0.5724634770156213,C.albicans,13.66666667,0.09
HSC058,FLC,0.5,1,1.3640120560161169,1,C.albicans,17.83333333,0.373333333
HSC058,FLC,1,1,1.6426044464524558,1.1761974970286413,C.albicans,17.83333333,0.373333333
HSC058,FLC,16,1,1.570690141762815,1.113459015579036,C.albicans,17.83333333,0.373333333
HSC058,FLC,2,1,1.507150011808943,1.110027727290565,C.albicans,17.83333333,0.373333333
HSC058,FLC,32,1,1.3326736495307152,1.0114751570748723,C.albicans,17.83333333,0.373333333
HSC058,FLC,4,1,1.5527331485149818,1.1468139304006149,C.albicans,17.83333333,0.373333333
HSC058,FLC,8,1,1.5817405991460973,1.1492353476377222,C.albicans,17.83333333,0.373333333
HSC059,BA,3.12,0.78125,1.1735540299635108,0.7277679197261205,C.albicans,12,0.14
HSC059,BA,6.25,0.78125,0.8274739010131065,0.6344257323790776,C.albicans,12,0.14
HSC059,BA,0.2,0.78125,1.7915467351151302,1,C.albicans,12,0.14
HSC059,BA,12.5,0.78125,0.7162225718893236,0.6295958385946299,C.albicans,12,0.14
HSC059,BA,1.56,0.78125,1.1431074067468692,0.7634218841277055,C.albicans,12,0.14
HSC059,BA,0.39,0.78125,1.1205621563373147,0.8775153296481157,C.albicans,12,0.14
HSC059,BA,0.78,0.78125,0.8974273882651819,0.7587248956520121,C.albicans,12,0.14
HSC059,FLC,0.5,>32,1.3749725258497845,1,C.albicans,9.5,NA
HSC059,FLC,1,>32,1.8796603066913722,1.149226442804268,C.albicans,9.5,NA
HSC059,FLC,16,>32,2.0583240400779084,1.1252975781900592,C.albicans,9.5,NA
HSC059,FLC,2,>32,1.695672862536464,1.113464752247307,C.albicans,9.5,NA
HSC059,FLC,32,>32,1.8762531317996145,1.0668120014850968,C.albicans,9.5,NA
HSC059,FLC,4,>32,1.5808936583703814,1.102953569284286,C.albicans,9.5,NA
HSC059,FLC,8,>32,1.5994201718443135,1.0906918278548212,C.albicans,9.5,NA
HSC061,BA,0.2,0.390625,1.6748220782438674,1,C.albicans,11.5,0.13
HSC061,BA,12.5,0.390625,0.7258569805923609,0.677164620135055,C.albicans,11.5,0.13
HSC061,BA,0.39,0.390625,0.756767895825309,0.855448791367618,C.albicans,11.5,0.13
HSC061,BA,0.78,0.390625,1.151740701579646,0.9263527647918727,C.albicans,11.5,0.13
HSC061,BA,1.56,0.390625,0.9102921081489513,0.8283628545553471,C.albicans,11.5,0.13
HSC061,BA,6.25,0.390625,0.9192219281051364,0.5908267588164514,C.albicans,11.5,0.13
HSC061,BA,3.12,0.390625,0.9707401201600497,0.6645302910217712,C.albicans,11.5,0.13
HSC062,BA,6.25,0.78125,1.2129823095138599,0.7037632590545558,C.albicans,13.16666667,0.133333333
HSC062,BA,0.2,0.78125,1.5254528216257992,1,C.albicans,13.16666667,0.133333333
HSC062,BA,12.5,0.78125,1.053287141258779,0.6477429903833336,C.albicans,13.16666667,0.133333333
HSC062,BA,3.12,0.78125,1.5426175808473637,0.9396290240445668,C.albicans,13.16666667,0.133333333
HSC062,BA,1.56,0.78125,1.402873075143002,1.038273538090615,C.albicans,13.16666667,0.133333333
HSC062,BA,0.78,0.78125,1.4304625048865642,1.003671421299379,C.albicans,13.16666667,0.133333333
HSC062,BA,0.39,0.78125,1.4003567753618302,1.0207087483822106,C.albicans,13.16666667,0.133333333
HSC062,FLC,0.5,1,1.4163842901114814,1,C.albicans,20.16666667,0.128333333
HSC062,FLC,1,1,1.5635308489297342,1.1124582312075588,C.albicans,20.16666667,0.128333333
HSC062,FLC,16,1,1.5051796273293925,1.1041392952667421,C.albicans,20.16666667,0.128333333
HSC062,FLC,2,1,1.5806133804707039,1.1664600054949055,C.albicans,20.16666667,0.128333333
HSC062,FLC,32,1,1.3934666364104777,1.0617552686041758,C.albicans,20.16666667,0.128333333
HSC062,FLC,4,1,1.5982878809264596,1.194234744674844,C.albicans,20.16666667,0.128333333
HSC062,FLC,8,1,1.655201463733749,1.183092970265432,C.albicans,20.16666667,0.128333333
HSC063,BA,0.39,0.78125,1.308522393403698,1.041186873840676,C.albicans,11.75,0.135
HSC063,BA,0.2,0.78125,1.5617141294099979,1,C.albicans,11.75,0.135
HSC063,BA,12.5,0.78125,0.836915809664777,0.7003206651622969,C.albicans,11.75,0.135
HSC063,BA,1.56,0.78125,0.9545176548385274,0.8290533421518237,C.albicans,11.75,0.135
HSC063,BA,3.12,0.78125,1.123845124640025,0.7649166063284064,C.albicans,11.75,0.135
HSC063,BA,6.25,0.78125,1.038701708521708,0.6236263844621689,C.albicans,11.75,0.135
HSC063,BA,0.78,0.78125,1.2524796378178387,1.0465163482895676,C.albicans,11.75,0.135
HSC063,FLC,0.5,2,1.389140221492749,1,C.albicans,18,0.4025
HSC063,FLC,1,2,1.6852230350810788,1.1468442988927434,C.albicans,18,0.4025
HSC063,FLC,16,2,1.6790087571125671,1.0489451002477912,C.albicans,18,0.4025
HSC063,FLC,2,2,1.4451473849557914,1.0987361954472776,C.albicans,18,0.4025
HSC063,FLC,32,2,1.5004465927009019,0.9952044010077815,C.albicans,18,0.4025
HSC063,FLC,4,2,1.5244384253641432,1.1388673895568324,C.albicans,18,0.4025
HSC063,FLC,8,2,1.6550169244493258,1.1219288520340298,C.albicans,18,0.4025
HSC074,BA,3.12,0.78125,0.9087071318983198,0.6901414970631422,C.albicans,13.83333333,0.125
HSC074,BA,0.2,0.78125,1.4620567720416857,1,C.albicans,13.83333333,0.125
HSC074,BA,6.25,0.78125,0.7462298064429338,0.6585693850324591,C.albicans,13.83333333,0.125
HSC074,BA,1.56,0.78125,0.842639994960619,0.8688746941659345,C.albicans,13.83333333,0.125
HSC074,BA,0.39,0.78125,1.3943454303385672,0.9935527712546285,C.albicans,13.83333333,0.125
HSC074,BA,12.5,0.78125,0.7033310093815761,0.7462906069550348,C.albicans,13.83333333,0.125
HSC074,BA,0.78,0.78125,1.0381508888848554,1.068741241963155,C.albicans,13.83333333,0.125
HSC074,FLC,0.5,1,1.3126464839692287,1,C.albicans,19.66666667,0.353333333
HSC074,FLC,1,1,1.5779079589433398,1.1003755597404319,C.albicans,19.66666667,0.353333333
HSC074,FLC,16,1,1.4262495519865792,1.0380679323299504,C.albicans,19.66666667,0.353333333
HSC074,FLC,2,1,1.2669350413378664,1.0528741400482238,C.albicans,19.66666667,0.353333333
HSC074,FLC,32,1,1.4348063737599377,1.1363249253619927,C.albicans,19.66666667,0.353333333
HSC074,FLC,4,1,1.2332707030453116,1.0188289452259536,C.albicans,19.66666667,0.353333333
HSC074,FLC,8,1,1.2796576842377283,1.020682801587643,C.albicans,19.66666667,0.353333333
HSC077,BA,0.39,0.78125,1.256337124871344,1.0071637079975437,C.albicans,16.5,0.121666667
HSC077,BA,12.5,0.78125,0.9335516345871478,0.8322321151026919,C.albicans,16.5,0.121666667
HSC077,BA,0.2,0.78125,1.3985815782169218,1,C.albicans,16.5,0.121666667
HSC077,BA,6.25,0.78125,1.0610728215513678,0.7375070593814019,C.albicans,16.5,0.121666667
HSC077,BA,3.12,0.78125,1.0790142882346618,0.81987028950198,C.albicans,16.5,0.121666667
HSC077,BA,1.56,0.78125,1.1727443720285524,0.9016987631680088,C.albicans,16.5,0.121666667
HSC077,BA,0.78,0.78125,1.2319592575841773,1.0217599761780227,C.albicans,16.5,0.121666667
HSC077,FLC,0.5,>32,1.3441485916401563,1,C.albicans,19.5,0.421666667
HSC077,FLC,1,>32,1.4604247821287586,0.9808230955913186,C.albicans,19.5,0.421666667
HSC077,FLC,16,>32,1.5297056864817526,0.949287195191145,C.albicans,19.5,0.421666667
HSC077,FLC,2,>32,1.4174174487267874,0.9573634359615315,C.albicans,19.5,0.421666667
HSC077,FLC,32,>32,1.5096877276619258,0.9212770762195085,C.albicans,19.5,0.421666667
HSC077,FLC,4,>32,1.422734719038304,0.936674814802338,C.albicans,19.5,0.421666667
